Num,LeetCode Problem,Topic,Video Explanation,Difficulty,,,,,
85,Rotting Oranges,Graphs,https://www.youtube.com/watch?v=1BlwbFfgk-E,Medium,,,,,
86,Walls And Gates,Graphs,https://www.youtube.com/watch?v=wYv60DTtsto,Medium,,,,,
87,Course Schedule,Graphs,https://www.youtube.com/watch?v=ge9WKEsVue0,Medium,,,,,
88,Course Schedule II,Graphs,https://www.youtube.com/watch?v=_RWV4hZdmdk,Medium,,,,,
89,Redundant Connection,Graphs,https://www.youtube.com/watch?v=ctMC5TPuVnM,Medium,,,,,
90,Number of Connected Components In An Undirected Graph,Graphs,https://www.youtube.com/watch?v=o8z2tHYrg_o,Medium,,,,,
91,Graph Valid Tree,Graphs,https://www.youtube.com/watch?v=WU3-vo0MJW0,Medium,,,,,
92,Word Ladder,Graphs,https://www.youtube.com/watch?v=isLTjdCw52s,Hard,,,,,
93,Reconstruct Itinerary,Advanced Graphs,https://www.youtube.com/watch?v=1_bfI1mi6mA,Hard,,,,,
94,Min Cost to Connect All Points,Advanced Graphs,https://www.youtube.com/watch?v=mvwrT2A4p60,Medium,,,,,
95,Network Delay Time,Advanced Graphs,https://www.youtube.com/watch?v=QKRRjz4KMuE,Medium,,,,,
96,Swim In Rising Water,Advanced Graphs,https://www.youtube.com/watch?v=WYHvHkh9kHQ,Hard,,,,,
97,Alien Dictionary,Advanced Graphs,https://www.youtube.com/watch?v=1QbsN5JyPto,Hard,,,,,
98,Cheapest Flights Within K Stops,Advanced Graphs,https://www.youtube.com/watch?v=AVsymWOY6fc,Medium,,,,,
99,Climbing Stairs,1-D Dynamic Programming,https://www.youtube.com/watch?v=5mWBnYrdO70,Easy,,,,,
100,Min Cost Climbing Stairs,1-D Dynamic Programming,https://www.youtube.com/watch?v=A3LYMRqAQeU,Easy,,,,,
101,House Robber,1-D Dynamic Programming,https://www.youtube.com/watch?v=jFmfYi_dvwQ,Medium,,,,,
102,House Robber II,1-D Dynamic Programming,https://www.youtube.com/watch?v=c_rwra1aITY,Medium,,,,,
103,Longest Palindromic Substring,1-D Dynamic Programming,https://www.youtube.com/watch?v=92KOT17h8zw,Medium,,,,,
104,Palindromic Substrings,1-D Dynamic Programming,https://www.youtube.com/watch?v=WfkVe8egZbU,Medium,,,,,
105,Decode Ways,1-D Dynamic Programming,https://www.youtube.com/watch?v=ayGRvdnjFKg,Medium,,,,,
106,Coin Change,1-D Dynamic Programming,https://www.youtube.com/watch?v=UOmlkfWMU6M,Medium,,,,,
107,Maximum Product Subarray,1-D Dynamic Programming,https://www.youtube.com/watch?v=OuRQ_TCCjsU,Medium,,,,,
108,Word Break,1-D Dynamic Programming,https://www.youtube.com/watch?v=XD9tXO9HW40,Medium,,,,,
109,Longest Increasing Subsequence,1-D Dynamic Programming,https://www.youtube.com/watch?v=cixz99yxgWA,Medium,,,,,
110,Partition Equal Subset Sum,1-D Dynamic Programming,https://www.youtube.com/watch?v=X50Rknzenus,Medium,,,,,
111,Unique Paths,2-D Dynamic Programming,https://www.youtube.com/watch?v=klWLMgdMWCY,Medium,,,,,
112,Longest Common Subsequence,2-D Dynamic Programming,https://www.youtube.com/watch?v=g9iNrsBR9BE,Medium,,,,,
113,Best Time to Buy And Sell Stock With Cooldown,2-D Dynamic Programming,https://www.youtube.com/watch?v=PH5jUN1cNHo,Medium,,,,,
114,Coin Change II,2-D Dynamic Programming,https://www.youtube.com/watch?v=khIBdTrRggk,Medium,,,,,
115,Target Sum,2-D Dynamic Programming,https://www.youtube.com/watch?v=9QqOX57nMAY,Medium,,,,,
116,Interleaving String,2-D Dynamic Programming,https://www.youtube.com/watch?v=KXIK863L9tk,Medium,,,,,
117,Longest Increasing Path In a Matrix,2-D Dynamic Programming,https://www.youtube.com/watch?v=gvwTGXP-reQ,Hard,,,,,
118,Distinct Subsequences,2-D Dynamic Programming,https://www.youtube.com/watch?v=A5IBp1ldlik,Hard,,,,,
119,Edit Distance,2-D Dynamic Programming,https://www.youtube.com/watch?v=fnWskW9xaw4,Medium,,,,,
120,Burst Balloons,2-D Dynamic Programming,https://www.youtube.com/watch?v=TfvN6rqDOT0,Hard,,,,,
121,Regular Expression Matching,2-D Dynamic Programming,https://www.youtube.com/watch?v=VFQddcCP46c,Hard,,,,,
122,Maximum Subarray,Greedy,https://www.youtube.com/watch?v=nr2djEYM7_A,Medium,,,,,
123,Jump Game,Greedy,https://www.youtube.com/watch?v=PVNLmjJaHW0,Medium,,,,,
124,Jump Game II,Greedy,https://www.youtube.com/watch?v=d_1GRnMg_zs,Medium,,,,,
125,Gas Station,Greedy,https://www.youtube.com/watch?v=ENDr9IfRMMw,Medium,,,,,
126,Hand of Straights,Greedy,https://www.youtube.com/watch?v=ISHUyNJVq_M,Medium,,,,,
127,Merge Triplets to Form Target Triplet,Greedy,https://www.youtube.com/watch?v=OVjB6kGr29g,Medium,,,,,
128,Partition Labels,Greedy,https://www.youtube.com/watch?v=TvWEYhHPO0w,Medium,,,,,
129,Valid Parenthesis String,Greedy,https://www.youtube.com/watch?v=h5YxPLC4lWs,Medium,,,,,
130,Insert Interval,Intervals,https://www.youtube.com/watch?v=16YiKk6ga7Y,Medium,,,,,
131,Merge Intervals,Intervals,https://www.youtube.com/watch?v=n3F2v9f8OfY,Medium,,,,,
132,Non Overlapping Intervals,Intervals,https://www.youtube.com/watch?v=y8nBFmPsAF8,Medium,,,,,
133,Meeting Rooms,Intervals,https://www.youtube.com/watch?v=5nqLIwo0oC0,Easy,,,,,
134,Meeting Rooms II,Intervals,https://www.youtube.com/watch?v=sQkgNfoPrDw,Medium,,,,,
135,Minimum Interval to Include Each Query,Intervals,https://www.youtube.com/watch?v=FZtDTYzVUhU,Hard,,,,,
136,Rotate Image,Math & Geometry,https://www.youtube.com/watch?v=dF1E3G9wBCw,Medium,,,,,
137,Spiral Matrix,Math & Geometry,https://www.youtube.com/watch?v=xUpnTpzMqfI,Medium,,,,,
138,Set Matrix Zeroes,Math & Geometry,https://www.youtube.com/watch?v=JwQvyZcwcP4,Medium,,,,,
139,Happy Number,Math & Geometry,https://www.youtube.com/watch?v=d5SvCvRmmww,Easy,,,,,
140,Plus One,Math & Geometry,https://www.youtube.com/watch?v=1KIcZqCXNHU,Easy,,,,,
141,"Pow(x, n)",Math & Geometry,https://www.youtube.com/watch?v=OUKFuUkb4p0,Medium,,,,,
142,Multiply Strings,Math & Geometry,https://www.youtube.com/watch?v=1Hftrgb30BQ,Medium,,,,,
143,Detect Squares,Math & Geometry,https://www.youtube.com/watch?v=1UooPSAHjfw,Medium,,,,,
144,Single Number,Bit Manipulation,https://www.youtube.com/watch?v=2LaOz13Y5qw,Easy,,,,,
145,Number of 1 Bits,Bit Manipulation,https://www.youtube.com/watch?v=xx9vN3n0_SA,Easy,,,,,
146,Counting Bits,Bit Manipulation,https://www.youtube.com/watch?v=f9vCuICgRpU,Easy,,,,,
147,Reverse Bits,Bit Manipulation,https://www.youtube.com/watch?v=-7bpRBMPXh8,Easy,,,,,
148,Missing Number,Bit Manipulation,https://www.youtube.com/watch?v=-pLW7935dlc,Easy,,,,,
149,Sum of Two Integers,Bit Manipulation,https://www.youtube.com/watch?v=oQqe3N2aSd4,Medium,,,,,
150,Reverse Integer,Bit Manipulation,https://www.youtube.com/watch?v=fZwClQfC3qU,Medium,,,,,
